id,C1,C2,C3,Time
B1-1,33.89,33.89,33.89,0
B1-2,31.35,31.1,31.2,1.49
B1-3,27.16,27.16,27.16,5.22
B1-4,27.24,27.16,27.08,10.38
B1-5,29.4,29.07,29.13,13.55
B1-6,30.49,30.6,30.71,16.8
B1-7,30.79,30.72,31.01,18.44
B1-8,29.37,29.44,29.45,21.32
B1-9,30.06,29.64,29.71,23.37
B1-10,31.35,31.33,31.25,25.29
B1-11,30.29,30.26,30.29,27.39
B1-12,29.69,29.76,29.7,29.45
B1-13,28.75,28.82,28.98,31.35
B1-14,31.15,30.74,30.77,33.57
B1-15,30.52,30.6,30.6,35.34
B1-16,30.3,30.47,29.99,38.01
B1-17,29.8,29.89,29.67,41.3
B1-18,29.92,30.1,30.3,43.91
B1-19,31.22,31.15,31.38,46
B1-20,29.5,29.8,29.83,47
B1-21,30.75,30.62,30.33,48
B1-22,32.48,32.52,32.65,50
B1-23,29.99,29.87,29.9,52.3
B1-24,29.82,29.84,29.88,54.5
B1-25,30.79,30.8,29.92,55.53
B1-26,26.94,26.96,26.94,57.16
B1-27,30.39,30.32,30.18,58.48
B1-28,30.27,30.27,30.27,60
B1-29,30.56,30.44,30.44,62
B1-30,29.8,29.93,29.83,64
